"Subject" "Group" "Condition" "TB" "TrialNum" "Trial" "Lat"
"442" "2" "1" "0" "3" "3" "58" 348.846
"443" "2" "1" "0" "19" "1" "59" 387.308
"444" "2" "1" "0" "53" "1" "60" 387.308
"445" "2" "1" "0" "56" "2" "61" 379.615
"446" "2" "1" "0" "62" "2" "62" 318.077
"447" "2" "1" "0" "2" "3" "63" 333.462
"448" "2" "1" "0" "21" "1" "64" 325.769
"449" "2" "1" "0" "14" "2" "65" 325.769
"450" "2" "1" "0" "4" "4" "66" 387.308
"451" "2" "1" "0" "9" "3" "67" 379.615
"452" "2" "1" "0" "60" "3" "68" 341.154
"453" "2" "1" "0" "16" "2" "69" 318.077
"454" "2" "1" "0" "8" "2" "70" 356.538
"455" "2" "1" "0" "63" "2" "71" 387.308
"456" "2" "1" "0" "55" "2" "72" 333.462
"457" "2" "1" "0" "5" "4" "73" 295.000
"458" "2" "1" "0" "13" "3" "74" 279.615
"459" "2" "1" "0" "1" "4" "75" 356.538
"460" "2" "1" "0" "51" "2" "76" 341.154
"461" "2" "1" "0" "21" "2" "77" 356.538
"462" "2" "1" "0" "22" "2" "78" 256.538
"463" "2" "1" "0" "54" "2" "79" 402.692
"464" "2" "1" "0" "62" "3" "80" 371.923
"465" "2" "1" "0" "49" "2" "81" 364.231
"466" "2" "1" "0" "15" "3" "82" 348.846
"467" "2" "1" "0" "3" "4" "83" 295.000
"468" "2" "1" "0" "7" "4" "84" 356.538
"469" "2" "1" "0" "12" "2" "85" 341.154
"470" "2" "1" "0" "1" "5" "86" 302.692
"471" "2" "1" "0" "7" "5" "87" 341.154
"472" "2" "1" "0" "5" "5" "88" 433.462
"473" "2" "1" "0" "50" "2" "89" 395.000
"474" "2" "1" "0" "11" "3" "90" 325.769
"475" "2" "1" "0" "60" "4" "91" 302.692
"476" "2" "1" "0" "59" "2" "92" 348.846
"477" "2" "1" "0" "61" "2" "93" 364.231
"478" "2" "1" "0" "62" "4" "94" 348.846
"479" "2" "1" "0" "6" "4" "95" 333.462
"480" "2" "1" "0" "6" "5" "96" 325.769
"481" "2" "1" "0" "3" "5" "97" 371.923
"482" "2" "1" "0" "3" "6" "98" 402.692
"483" "2" "1" "0" "23" "2" "99" 325.769
"484" "2" "1" "0" "9" "4" "100" 402.692
"485" "2" "1" "0" "20" "2" "101" 302.692
"486" "2" "1" "0" "48" "2" "102" 310.385
"487" "2" "1" "0" "0" "4" "103" 287.308
"488" "2" "1" "0" "53" "2" "104" 310.385
"489" "2" "1" "0" "17" "2" "105" 348.846
"490" "2" "1" "0" "13" "4" "106" 395.000
"491" "2" "1" "0" "18" "2" "107" 302.692
"492" "2" "1" "0" "1" "6" "108" 364.231
"493" "2" "1" "0" "52" "2" "109" 348.846
"494" "2" "1" "0" "10" "2" "110" 333.462
"495" "2" "1" "0" "56" "3" "111" 318.077
"496" "2" "1" "0" "4" "5" "112" 325.769
"497" "2" "1" "0" "19" "2" "113" 425.769
"498" "2" "1" "0" "4" "6" "114" 402.692
"499" "2" "1" "0" "57" "2" "115" 410.385
"500" "2" "1" "0" "11" "4" "116" 325.769
"501" "2" "1" "0" "56" "4" "117" 410.385
"502" "2" "1" "0" "15" "4" "118" 287.308
"503" "2" "1" "0" "5" "6" "119" 379.615
"504" "2" "1" "0" "58" "3" "120" 287.308
"505" "2" "1" "0" "2" "4" "121" 387.308
"506" "2" "1" "0" "2" "5" "122" 318.077
"507" "2" "1" "0" "2" "6" "123" 325.769
"508" "2" "1" "0" "6" "6" "124" 418.077
"509" "2" "1" "0" "0" "5" "125" 425.769
"510" "2" "1" "0" "7" "6" "126" 333.462
"511" "2" "1" "0" "58" "4" "127" 387.308
"512" "2" "1" "0" "0" "6" "128" 387.308
"513" "3" "1" "1" "4" "1" "1" 333.462
"514" "3" "1" "1" "50" "1" "2" 341.154
"515" "3" "1" "1" "9" "1" "3" 402.692
"516" "3" "1" "1" "5" "1" "4" 418.077
"517" "3" "1" "1" "0" "1" "5" 448.846
"518" "3" "1" "1" "49" "1" "6" 410.385
"519" "3" "1" "1" "4" "2" "7" 318.077
"520" "3" "1" "1" "11" "1" "8" 348.846
"521" "3" "1" "1" "7" "1" "9" 410.385
"522" "3" "1" "1" "6" "1" "10" 379.615
"523" "3" "1" "1" "59" "1" "11" 402.692
"524" "3" "1" "1" "52" "1" "12" 410.385
"525" "3" "1" "1" "15" "1" "13" 356.538
"526" "3" "1" "1" "58" "1" "14" 371.923
"527" "3" "1" "1" "57" "1" "15" 410.385
"528" "3" "1" "1" "5" "2" "16" 433.462
"529" "3" "1" "1" "20" "1" "17" 379.615
"530" "3" "1" "1" "8" "1" "18" 348.846
"531" "3" "1" "1" "1" "1" "19" 341.154
"532" "3" "1" "1" "2" "1" "20" 333.462
