"PDist" "Block" "Cond" "TB" "Subj"
464 0.02460 "1" "0" "41" "S2"
465 0.00511 "1" "0" "41" "S2"
466 0.02057 "1" "0" "42" "S2"
467 0.06422 "1" "0" "42" "S2"
468 0.01236 "1" "0" "42" "S2"
469 0.00830 "1" "0" "42" "S2"
470 0.21966 "1" "0" "43" "S2"
471 0.06841 "1" "0" "43" "S2"
472 0.01316 "1" "0" "47" "S2"
473 0.01530 "1" "0" "47" "S2"
474 0.03482 "1" "0" "48" "S2"
475 0.01499 "1" "0" "48" "S2"
476 0.05028 "1" "0" "49" "S2"
477 0.01300 "1" "0" "49" "S2"
478 0.00497 "1" "0" "49" "S2"
479 0.04315 "1" "0" "49" "S2"
480 0.01047 "1" "0" "49" "S2"
481 0.18832 "1" "0" "49" "S2"
482 0.03914 "1" "0" "50" "S2"
483 0.03710 "1" "0" "50" "S2"
484 0.05100 "1" "0" "51" "S2"
485 0.01199 "1" "0" "51" "S2"
486 0.05295 "1" "0" "55" "S2"
487 0.00604 "1" "0" "55" "S2"
488 0.01165 "1" "0" "56" "S2"
489 0.07752 "1" "0" "56" "S2"
490 0.03232 "1" "0" "56" "S2"
491 0.02471 "1" "0" "56" "S2"
492 0.13600 "1" "0" "57" "S2"
493 0.01449 "1" "0" "57" "S2"
494 0.03403 "1" "0" "57" "S2"
495 0.02389 "1" "0" "57" "S2"
496 0.08226 "1" "0" "57" "S2"
497 0.04151 "1" "0" "57" "S2"
498 0.00867 "1" "0" "58" "S2"
499 0.01902 "1" "0" "58" "S2"
500 0.02968 "1" "0" "58" "S2"
501 0.02085 "1" "0" "58" "S2"
502 0.01478 "1" "0" "59" "S2"
503 0.22308 "1" "0" "59" "S2"
504 0.04051 "1" "0" "63" "S2"
505 0.02037 "1" "0" "63" "S2"
506 0.02113 "1" "0" "64" "S2"
507 0.03361 "1" "0" "64" "S2"
508 0.12163 "2" "1" "1" "S2"
509 0.04394 "2" "1" "1" "S2"
510 0.12727 "2" "1" "1" "S2"
511 0.05432 "2" "1" "1" "S2"
512 0.07081 "2" "1" "1" "S2"
513 0.01840 "2" "1" "1" "S2"
514 0.01120 "2" "1" "2" "S2"
515 0.00246 "2" "1" "2" "S2"
516 0.08016 "2" "1" "3" "S2"
517 0.01784 "2" "1" "3" "S2"
518 0.05817 "2" "1" "7" "S2"
519 0.01309 "2" "1" "7" "S2"
520 0.10525 "2" "1" "8" "S2"
521 0.00738 "2" "1" "8" "S2"
522 0.04793 "2" "1" "8" "S2"
523 0.01790 "2" "1" "8" "S2"
524 0.02299 "2" "1" "9" "S2"
525 0.03566 "2" "1" "9" "S2"
526 0.37614 "2" "1" "9" "S2"
527 0.17738 "2" "1" "9" "S2"
528 0.03838 "2" "1" "9" "S2"
529 0.03890 "2" "1" "10" "S2"
530 0.02684 "2" "1" "10" "S2"
531 0.02337 "2" "1" "10" "S2"
532 0.02128 "2" "1" "10" "S2"
533 0.04027 "2" "1" "11" "S2"
534 0.01986 "2" "1" "11" "S2"
535 0.24535 "2" "1" "15" "S2"
536 0.01098 "2" "1" "16" "S2"
537 0.03194 "2" "1" "16" "S2"
538 0.03837 "2" "1" "17" "S2"
539 0.11674 "2" "1" "17" "S2"
540 0.06602 "2" "1" "17" "S2"
541 0.07308 "2" "1" "17" "S2"
542 0.10628 "2" "1" "17" "S2"
543 0.01702 "2" "1" "17" "S2"
544 0.02326 "2" "1" "18" "S2"
545 0.02203 "2" "1" "18" "S2"
546 0.01146 "2" "1" "19" "S2"
547 0.02986 "2" "1" "19" "S2"
548 0.16711 "2" "1" "23" "S2"
549 0.02520 "2" "1" "23" "S2"
550 0.00970 "2" "1" "24" "S2"
551 0.04375 "2" "1" "24" "S2"
552 0.05454 "2" "1" "24" "S2"
553 0.00460 "2" "1" "24" "S2"
554 0.02897 "2" "1" "25" "S2"
555 0.04150 "2" "1" "25" "S2"
556 0.01121 "2" "1" "25" "S2"
557 0.01449 "2" "1" "25" "S2"
558 0.01374 "2" "1" "25" "S2"
559 0.01070 "2" "1" "25" "S2"
560 0.05158 "2" "1" "26" "S2"
561 0.07572 "2" "1" "26" "S2"
562 0.10294 "2" "1" "26" "S2"
563 0.26150 "2" "1" "26" "S2"
564 0.14427 "2" "1" "27" "S2"
565 0.02601 "2" "1" "31" "S2"
566 0.02942 "2" "1" "31" "S2"
567 0.02284 "2" "1" "32" "S2"
568 0.01810 "2" "1" "32" "S2"
569 0.05636 "2" "1" "33" "S2"
570 0.03507 "2" "1" "33" "S2"
571 0.01038 "2" "1" "33" "S2"
572 0.02105 "2" "1" "33" "S2"
573 0.01157 "2" "1" "33" "S2"
574 0.00428 "2" "1" "33" "S2"
575 0.06823 "2" "1" "34" "S2"
576 0.06125 "2" "1" "34" "S2"
577 0.12680 "2" "1" "35" "S2"
578 0.01626 "2" "1" "35" "S2"
579 0.16579 "2" "1" "39" "S2"
580 0.05730 "2" "1" "39" "S2"
581 0.04266 "2" "1" "40" "S2"
582 0.00950 "2" "1" "40" "S2"
583 0.03194 "2" "1" "40" "S2"
584 0.04952 "2" "1" "40" "S2"
585 0.06638 "2" "1" "41" "S2"
586 0.00844 "2" "1" "41" "S2"
587 0.02507 "2" "1" "41" "S2"
588 0.15758 "2" "1" "41" "S2"
589 0.01134 "2" "1" "41" "S2"
590 0.02047 "2" "1" "41" "S2"
591 0.04050 "2" "1" "42" "S2"
592 0.04034 "2" "1" "42" "S2"
593 0.05820 "2" "1" "42" "S2"
594 0.07024 "2" "1" "42" "S2"
595 0.08572 "2" "1" "43" "S2"
596 0.20992 "2" "1" "43" "S2"
597 0.27207 "2" "1" "47" "S2"
598 0.03139 "2" "1" "48" "S2"
599 0.01922 "2" "1" "48" "S2"
600 0.04597 "2" "1" "49" "S2"
601 0.01453 "2" "1" "49" "S2"
602 0.04246 "2" "1" "49" "S2"
603 0.01541 "2" "1" "49" "S2"
604 0.06644 "2" "1" "49" "S2"
605 0.02383 "2" "1" "49" "S2"
606 0.01043 "2" "1" "50" "S2"
607 0.00300 "2" "1" "50" "S2"
608 0.05624 "2" "1" "51" "S2"
609 0.04895 "2" "1" "51" "S2"
610 0.00546 "2" "1" "55" "S2"
611 0.00911 "2" "1" "55" "S2"
612 0.06455 "2" "1" "56" "S2"
613 0.02183 "2" "1" "56" "S2"
614 0.02342 "2" "1" "56" "S2"
615 0.17282 "2" "1" "56" "S2"
616 0.02805 "2" "1" "57" "S2"
617 0.01921 "2" "1" "57" "S2"
618 0.04731 "2" "1" "57" "S2"
619 0.08964 "2" "1" "57" "S2"
620 0.03909 "2" "1" "57" "S2"
621 0.04585 "2" "1" "57" "S2"
622 0.09824 "2" "1" "58" "S2"
623 0.00828 "2" "1" "58" "S2"
624 0.03973 "2" "1" "58" "S2"
625 0.03091 "2" "1" "58" "S2"
626 0.01277 "2" "1" "59" "S2"
627 0.01358 "2" "1" "59" "S2"
628 0.01145 "2" "1" "63" "S2"
629 0.03140 "2" "1" "64" "S2"
630 0.01207 "2" "1" "64" "S2"
631 0.13303 "3" "0" "1" "S2"
632 0.01567 "3" "0" "1" "S2"
633 0.19422 "3" "0" "1" "S2"
634 0.09122 "3" "0" "1" "S2"
635 0.04852 "3" "0" "1" "S2"
636 0.11031 "3" "0" "1" "S2"
637 0.01791 "3" "0" "2" "S2"
638 0.02602 "3" "0" "2" "S2"
639 0.00590 "3" "0" "3" "S2"
640 0.01263 "3" "0" "3" "S2"
641 0.04825 "3" "0" "7" "S2"
642 0.00532 "3" "0" "7" "S2"
643 0.01000 "3" "0" "8" "S2"
644 0.01929 "3" "0" "8" "S2"
645 0.02734 "3" "0" "8" "S2"
646 0.01407 "3" "0" "8" "S2"
647 0.02276 "3" "0" "9" "S2"
648 0.01187 "3" "0" "9" "S2"
649 0.02250 "3" "0" "9" "S2"
650 0.06935 "3" "0" "9" "S2"
651 0.08964 "3" "0" "9" "S2"
