"PDist" "Group" "Cond" "TB" "Subj"
370 0.00879 "1" "0" "1" "S2"
371 0.04079 "1" "0" "1" "S2"
372 0.01237 "1" "0" "1" "S2"
373 0.02400 "1" "0" "1" "S2"
374 0.02064 "1" "0" "1" "S2"
375 0.02927 "1" "0" "2" "S2"
376 0.00359 "1" "0" "2" "S2"
377 0.08643 "1" "0" "3" "S2"
378 0.04529 "1" "0" "3" "S2"
379 0.00631 "1" "0" "7" "S2"
380 0.01539 "1" "0" "7" "S2"
381 0.01846 "1" "0" "8" "S2"
382 0.03932 "1" "0" "8" "S2"
383 0.03736 "1" "0" "8" "S2"
384 0.02356 "1" "0" "8" "S2"
385 0.13517 "1" "0" "9" "S2"
386 0.02632 "1" "0" "9" "S2"
387 0.00591 "1" "0" "9" "S2"
388 0.06533 "1" "0" "9" "S2"
389 0.04071 "1" "0" "9" "S2"
390 0.00997 "1" "0" "9" "S2"
391 0.01933 "1" "0" "10" "S2"
392 0.02022 "1" "0" "10" "S2"
393 0.08444 "1" "0" "10" "S2"
394 0.01695 "1" "0" "10" "S2"
395 0.02293 "1" "0" "11" "S2"
396 0.03963 "1" "0" "11" "S2"
397 0.05807 "1" "0" "15" "S2"
398 0.01919 "1" "0" "15" "S2"
399 0.00531 "1" "0" "16" "S2"
400 0.00840 "1" "0" "16" "S2"
401 0.06424 "1" "0" "17" "S2"
402 0.02219 "1" "0" "17" "S2"
403 0.05103 "1" "0" "17" "S2"
404 0.10310 "1" "0" "17" "S2"
405 0.03162 "1" "0" "17" "S2"
406 0.02348 "1" "0" "17" "S2"
407 0.02411 "1" "0" "18" "S2"
408 0.03350 "1" "0" "19" "S2"
409 0.07645 "1" "0" "19" "S2"
410 0.02346 "1" "0" "23" "S2"
411 0.01334 "1" "0" "23" "S2"
412 0.01511 "1" "0" "24" "S2"
413 0.02729 "1" "0" "24" "S2"
414 0.00972 "1" "0" "24" "S2"
415 0.01253 "1" "0" "24" "S2"
416 0.03320 "1" "0" "25" "S2"
417 0.01071 "1" "0" "25" "S2"
418 0.02953 "1" "0" "25" "S2"
419 0.01920 "1" "0" "25" "S2"
420 0.02471 "1" "0" "25" "S2"
421 0.00605 "1" "0" "25" "S2"
422 0.03308 "1" "0" "26" "S2"
423 0.00854 "1" "0" "26" "S2"
424 0.03026 "1" "0" "26" "S2"
425 0.01939 "1" "0" "26" "S2"
426 0.02463 "1" "0" "27" "S2"
427 0.02158 "1" "0" "27" "S2"
428 0.05571 "1" "0" "31" "S2"
429 0.03520 "1" "0" "31" "S2"
430 0.00659 "1" "0" "32" "S2"
431 0.02195 "1" "0" "32" "S2"
432 0.01510 "1" "0" "33" "S2"
433 0.01435 "1" "0" "33" "S2"
434 0.01246 "1" "0" "33" "S2"
435 0.01586 "1" "0" "33" "S2"
436 0.01050 "1" "0" "33" "S2"
437 0.00492 "1" "0" "33" "S2"
438 0.07362 "1" "0" "34" "S2"
439 0.04353 "1" "0" "34" "S2"
440 0.09643 "1" "0" "35" "S2"
441 0.02706 "1" "0" "35" "S2"
442 0.14057 "1" "0" "39" "S2"
443 0.05800 "1" "0" "39" "S2"
444 0.03925 "1" "0" "40" "S2"
445 0.01316 "1" "0" "40" "S2"
446 0.04172 "1" "0" "40" "S2"
447 0.03666 "1" "0" "40" "S2"
448 0.01925 "1" "0" "41" "S2"
449 0.00595 "1" "0" "41" "S2"
450 0.01263 "1" "0" "41" "S2"
451 0.00607 "1" "0" "41" "S2"
452 0.00420 "1" "0" "41" "S2"
453 0.04356 "1" "0" "42" "S2"
454 0.01644 "1" "0" "42" "S2"
455 0.01532 "1" "0" "42" "S2"
456 0.00568 "1" "0" "42" "S2"
457 0.07464 "1" "0" "43" "S2"
458 0.03292 "1" "0" "43" "S2"
459 0.12291 "1" "0" "47" "S2"
460 0.06201 "1" "0" "47" "S2"
461 0.01376 "1" "0" "48" "S2"
462 0.03380 "1" "0" "48" "S2"
463 0.02637 "1" "0" "49" "S2"
464 0.03612 "1" "0" "49" "S2"
465 0.03415 "1" "0" "49" "S2"
466 0.00991 "1" "0" "49" "S2"
467 0.00876 "1" "0" "49" "S2"
468 0.01052 "1" "0" "49" "S2"
469 0.01337 "1" "0" "50" "S2"
470 0.03844 "1" "0" "50" "S2"
471 0.01848 "1" "0" "51" "S2"
472 0.03413 "1" "0" "51" "S2"
473 0.01076 "1" "0" "55" "S2"
474 0.03378 "1" "0" "55" "S2"
475 0.04771 "1" "0" "56" "S2"
476 0.05706 "1" "0" "56" "S2"
477 0.06192 "1" "0" "56" "S2"
478 0.04257 "1" "0" "57" "S2"
479 0.03837 "1" "0" "57" "S2"
480 0.01850 "1" "0" "57" "S2"
481 0.04213 "1" "0" "57" "S2"
482 0.03132 "1" "0" "57" "S2"
483 0.08204 "1" "0" "57" "S2"
484 0.00710 "1" "0" "58" "S2"
485 0.03777 "1" "0" "58" "S2"
486 0.03906 "1" "0" "58" "S2"
487 0.02481 "1" "0" "58" "S2"
488 0.01316 "1" "0" "59" "S2"
489 0.04833 "1" "0" "59" "S2"
490 0.01284 "1" "0" "63" "S2"
491 0.01946 "1" "0" "63" "S2"
492 0.01188 "1" "0" "64" "S2"
493 0.02962 "1" "0" "64" "S2"
494 0.06383 "1" "1" "1" "S3"
495 0.02366 "1" "1" "1" "S3"
496 0.01953 "1" "1" "1" "S3"
497 0.04887 "1" "1" "1" "S3"
498 0.02240 "1" "1" "1" "S3"
499 0.01733 "1" "1" "1" "S3"
500 0.05190 "1" "1" "2" "S3"
501 0.03083 "1" "1" "2" "S3"
502 0.00606 "1" "1" "3" "S3"
503 0.03237 "1" "1" "3" "S3"
504 0.00256 "1" "1" "7" "S3"
505 0.01522 "1" "1" "7" "S3"
506 0.02387 "1" "1" "8" "S3"
507 0.03923 "1" "1" "8" "S3"
508 0.02212 "1" "1" "8" "S3"
509 0.01332 "1" "1" "8" "S3"
510 0.03775 "1" "1" "9" "S3"
511 0.07014 "1" "1" "9" "S3"
512 0.02773 "1" "1" "9" "S3"
513 0.00875 "1" "1" "9" "S3"
514 0.01547 "1" "1" "9" "S3"
515 0.04058 "1" "1" "9" "S3"
516 0.03410 "1" "1" "10" "S3"
517 0.02625 "1" "1" "10" "S3"
518 0.01464 "1" "1" "11" "S3"
519 0.04379 "1" "1" "11" "S3"
520 0.02415 "1" "1" "15" "S3"
521 0.00884 "1" "1" "15" "S3"
522 0.02131 "1" "1" "16" "S3"
523 0.01369 "1" "1" "16" "S3"
524 0.01360 "1" "1" "17" "S3"
525 0.01304 "1" "1" "17" "S3"
526 0.02078 "1" "1" "17" "S3"
527 0.02359 "1" "1" "17" "S3"
528 0.09120 "1" "1" "17" "S3"
529 0.00991 "1" "1" "17" "S3"
530 0.04975 "1" "1" "18" "S3"
531 0.01166 "1" "1" "19" "S3"
532 0.01118 "1" "1" "19" "S3"
533 0.03572 "1" "1" "23" "S3"
534 0.03317 "1" "1" "23" "S3"
535 0.00427 "1" "1" "24" "S3"
536 0.01838 "1" "1" "24" "S3"
537 0.01769 "1" "1" "24" "S3"
538 0.01325 "1" "1" "24" "S3"
539 0.02958 "1" "1" "25" "S3"
540 0.01025 "1" "1" "25" "S3"
541 0.01027 "1" "1" "25" "S3"
542 0.04465 "1" "1" "25" "S3"
543 0.02244 "1" "1" "25" "S3"
544 0.00317 "1" "1" "25" "S3"
545 0.04378 "1" "1" "26" "S3"
546 0.04251 "1" "1" "26" "S3"
547 0.03983 "1" "1" "26" "S3"
548 0.00650 "1" "1" "26" "S3"
549 0.00544 "1" "1" "31" "S3"
550 0.13992 "1" "1" "31" "S3"
551 0.04690 "1" "1" "32" "S3"
552 0.03106 "1" "1" "32" "S3"
553 0.03236 "1" "1" "33" "S3"
554 0.04345 "1" "1" "33" "S3"
555 0.00716 "1" "1" "33" "S3"
556 0.01134 "1" "1" "33" "S3"
557 0.04727 "1" "1" "33" "S3"
558 0.01377 "1" "1" "33" "S3"
559 0.00704 "1" "1" "34" "S3"
560 0.01268 "1" "1" "34" "S3"
561 0.05774 "1" "1" "35" "S3"
562 0.05730 "1" "1" "35" "S3"
563 0.01358 "1" "1" "39" "S3"
564 0.00706 "1" "1" "39" "S3"
565 0.05325 "1" "1" "40" "S3"
566 0.04418 "1" "1" "40" "S3"
567 0.01634 "1" "1" "40" "S3"
568 0.03273 "1" "1" "40" "S3"
569 0.02843 "1" "1" "41" "S3"
570 0.02023 "1" "1" "41" "S3"
571 0.04326 "1" "1" "41" "S3"
572 0.00889 "1" "1" "41" "S3"
573 0.02296 "1" "1" "41" "S3"
574 0.09938 "1" "1" "41" "S3"
575 0.02180 "1" "1" "42" "S3"
576 0.00354 "1" "1" "42" "S3"
577 0.00814 "1" "1" "42" "S3"
578 0.00861 "1" "1" "42" "S3"
579 0.01368 "1" "1" "43" "S3"
580 0.00672 "1" "1" "43" "S3"
581 0.02223 "1" "1" "47" "S3"
582 0.04463 "1" "1" "48" "S3"
583 0.04202 "1" "1" "48" "S3"
584 0.02520 "1" "1" "49" "S3"
585 0.05422 "1" "1" "49" "S3"
586 0.01350 "1" "1" "49" "S3"
587 0.00962 "1" "1" "49" "S3"
588 0.09031 "1" "1" "49" "S3"
589 0.03684 "1" "1" "49" "S3"
590 0.01296 "1" "1" "50" "S3"
591 0.02627 "1" "1" "50" "S3"
592 0.00820 "1" "1" "51" "S3"
593 0.00898 "1" "1" "51" "S3"
594 0.00827 "1" "1" "55" "S3"
595 0.01336 "1" "1" "55" "S3"
596 0.03045 "1" "1" "56" "S3"
597 0.04111 "1" "1" "56" "S3"
598 0.02783 "1" "1" "56" "S3"
599 0.03826 "1" "1" "56" "S3"
600 0.09064 "1" "1" "57" "S3"
601 0.01296 "1" "1" "57" "S3"
602 0.01032 "1" "1" "57" "S3"
603 0.00809 "1" "1" "57" "S3"
604 0.01463 "1" "1" "57" "S3"
605 0.02134 "1" "1" "57" "S3"
606 0.02085 "1" "1" "58" "S3"
607 0.00636 "1" "1" "58" "S3"
608 0.02126 "1" "1" "58" "S3"
609 0.01930 "1" "1" "58" "S3"
610 0.00519 "1" "1" "59" "S3"
611 0.00715 "1" "1" "59" "S3"
612 0.06595 "1" "1" "63" "S3"
613 0.01070 "1" "1" "63" "S3"
614 0.01130 "1" "1" "64" "S3"
615 0.00455 "1" "1" "64" "S3"
616 0.02488 "1" "0" "1" "S3"
617 0.02663 "1" "0" "1" "S3"
618 0.01397 "1" "0" "1" "S3"
619 0.03719 "1" "0" "1" "S3"
620 0.01439 "1" "0" "1" "S3"
621 0.00165 "1" "0" "1" "S3"
622 0.03126 "1" "0" "2" "S3"
623 0.01451 "1" "0" "2" "S3"
624 0.03580 "1" "0" "3" "S3"
625 0.03682 "1" "0" "3" "S3"
626 0.03817 "1" "0" "7" "S3"
627 0.00139 "1" "0" "7" "S3"
628 0.02696 "1" "0" "8" "S3"
629 0.01153 "1" "0" "8" "S3"
630 0.01979 "1" "0" "8" "S3"
631 0.01549 "1" "0" "8" "S3"
632 0.03628 "1" "0" "9" "S3"
633 0.00902 "1" "0" "9" "S3"
634 0.01793 "1" "0" "9" "S3"
635 0.02900 "1" "0" "9" "S3"
636 0.01655 "1" "0" "9" "S3"
637 0.04010 "1" "0" "9" "S3"
638 0.04753 "1" "0" "10" "S3"
639 0.03411 "1" "0" "10" "S3"
640 0.00741 "1" "0" "10" "S3"
641 0.04668 "1" "0" "10" "S3"
642 0.01709 "1" "0" "11" "S3"
643 0.00474 "1" "0" "11" "S3"
644 0.00886 "1" "0" "15" "S3"
645 0.00686 "1" "0" "15" "S3"
646 0.03858 "1" "0" "16" "S3"
647 0.04097 "1" "0" "16" "S3"
648 0.01966 "1" "0" "17" "S3"
649 0.05377 "1" "0" "17" "S3"
650 0.03523 "1" "0" "17" "S3"
651 0.01909 "1" "0" "17" "S3"
652 0.04806 "1" "0" "17" "S3"
653 0.01405 "1" "0" "17" "S3"
654 0.01216 "1" "0" "18" "S3"
655 0.06601 "1" "0" "18" "S3"
656 0.03532 "1" "0" "19" "S3"
657 0.00310 "1" "0" "19" "S3"
658 0.04489 "1" "0" "23" "S3"
659 0.06835 "1" "0" "23" "S3"
660 0.01352 "1" "0" "24" "S3"
