Lat Vpeak Err Block Subj Trial
562 295.000 0.608 1.038 2 6 82
563 379.000 0.709 0.771 2 6 83
564 387.000 0.639 0.731 2 6 84
565 335.000 0.707 0.658 2 6 85
566 310.000 0.683 0.569 2 6 86
567 288.000 0.762 3.085 2 6 87
568 295.000 0.673 0.444 2 6 88
569 326.000 0.606 0.264 2 6 89
570 295.000 0.617 0.710 2 6 90
571 272.000 0.628 0.950 2 6 91
572 325.000 0.643 1.100 2 6 92
573 271.000 0.662 0.530 2 6 93
574 349.000 0.640 1.504 2 6 94
575 295.000 0.673 1.624 2 6 95
576 279.000 0.603 0.810 2 6 96
577 310.000 0.638 0.626 2 6 97
578 264.000 0.686 0.459 2 6 98
579 272.000 0.570 0.534 2 6 99
580 295.000 0.644 0.514 2 6 100
581 280.000 0.614 0.715 2 6 101
582 265.000 0.659 1.665 2 6 102
583 256.000 0.663 0.702 2 6 103
584 333.000 0.642 0.920 2 6 104
585 257.000 0.487 0.519 2 6 105
586 265.000 0.627 1.175 2 6 106
587 303.000 0.609 0.247 2 6 107
588 281.000 0.750 1.046 2 6 108
589 281.000 0.725 2.565 2 6 109
590 264.000 0.656 1.777 2 6 110
591 227.000 0.718 0.435 2 6 111
592 287.000 0.671 0.841 2 6 112
593 295.000 0.647 1.757 2 6 113
594 271.000 0.658 1.274 2 6 114
595 258.000 0.519 0.647 2 6 115
596 280.000 0.651 1.435 2 6 116
597 310.000 0.594 1.106 2 6 117
598 303.000 0.736 0.753 2 6 118
599 279.000 0.603 0.855 2 6 119
600 234.000 0.793 1.702 2 6 120
601 233.000 0.662 1.475 1 7 11
602 225.000 0.551 1.074 1 7 12
603 257.000 0.647 1.974 1 7 13
604 234.000 0.580 1.645 1 7 14
605 249.000 0.515 1.751 1 7 15
606 241.000 0.439 2.176 1 7 16
607 264.000 0.729 1.765 1 7 17
608 272.000 0.602 1.140 1 7 18
609 272.000 0.647 1.254 1 7 19
610 233.000 0.646 1.796 1 7 20
611 257.000 0.632 0.651 1 7 21
612 295.000 0.607 2.686 1 7 22
613 203.000 0.606 1.301 1 7 23
614 241.000 0.594 0.436 1 7 24
615 256.000 0.612 2.754 1 7 25
616 218.000 0.538 2.365 1 7 26
617 240.000 0.511 1.786 1 7 27
618 264.000 0.744 0.436 1 7 28
619 203.000 0.689 0.939 1 7 29
620 265.000 0.680 0.922 1 7 30
621 303.000 0.513 1.636 1 7 31
622 257.000 0.580 0.407 1 7 32
623 256.000 0.611 0.892 1 7 33
624 248.000 0.544 0.715 1 7 34
625 303.000 0.609 1.474 1 7 35
626 248.000 0.475 1.307 1 7 36
627 310.000 0.497 1.673 1 7 37
628 295.000 0.584 0.657 1 7 38
629 272.000 0.633 2.071 1 7 39
630 211.000 0.648 1.520 1 7 40
631 272.000 0.545 0.558 1 7 41
632 288.000 0.679 1.881 1 7 42
633 257.000 0.691 1.643 1 7 43
634 240.000 0.716 3.347 1 7 44
635 288.000 0.564 2.592 1 7 45
636 242.000 0.508 2.098 1 7 46
637 234.000 0.610 2.512 1 7 47
638 210.000 0.518 0.801 1 7 48
639 249.000 0.713 1.794 1 7 49
640 272.000 0.586 0.358 1 7 50
641 265.000 0.567 0.515 1 7 51
642 241.000 0.582 0.657 1 7 52
643 265.000 0.674 0.238 1 7 53
644 264.000 0.698 0.138 1 7 54
645 257.000 0.628 0.760 1 7 55
646 287.000 0.566 0.748 1 7 56
647 256.000 0.561 1.082 1 7 57
648 279.000 0.515 2.130 1 7 58
649 226.000 0.525 1.023 1 7 59
650 241.000 0.591 0.846 1 7 60
651 219.000 0.607 1.037 2 7 71
652 271.000 0.787 0.319 2 7 72
653 225.000 0.602 2.136 2 7 73
654 240.000 0.596 1.160 2 7 74
655 242.000 0.831 0.404 2 7 75
656 233.000 0.727 2.012 2 7 76
657 240.000 0.737 0.767 2 7 77
658 241.000 0.531 1.563 2 7 78
659 241.000 0.598 1.912 2 7 79
660 241.000 0.565 0.305 2 7 80
661 302.000 0.628 0.694 2 7 81
662 242.000 0.773 2.634 2 7 82
663 211.000 0.717 0.210 2 7 83
664 241.000 0.579 0.781 2 7 84
665 264.000 0.527 1.135 2 7 85
666 280.000 0.499 0.534 2 7 86
667 240.000 0.763 1.487 2 7 87
668 210.000 0.532 1.370 2 7 88
669 303.000 0.760 1.098 2 7 89
670 225.000 0.408 0.531 2 7 90
671 234.000 0.587 0.645 2 7 91
672 257.000 0.559 0.502 2 7 92
673 241.000 0.663 1.516 2 7 93
674 234.000 0.877 3.297 2 7 94
675 288.000 0.511 1.202 2 7 95
676 250.000 0.582 1.203 2 7 96
677 302.000 0.559 0.205 2 7 97
678 241.000 0.639 1.141 2 7 98
679 211.000 0.691 2.353 2 7 99
680 257.000 0.493 1.375 2 7 100
681 250.000 0.543 0.431 2 7 101
682 295.000 0.593 0.524 2 7 102
683 257.000 0.672 0.825 2 7 103
684 295.000 0.733 0.663 2 7 104
685 264.000 0.603 1.128 2 7 105
686 225.000 0.743 1.699 2 7 106
687 257.000 0.479 0.536 2 7 107
688 287.000 0.800 0.871 2 7 108
689 248.000 0.796 1.080 2 7 109
690 227.000 0.596 0.795 2 7 110
691 241.000 0.566 1.334 2 7 111
692 249.000 0.550 0.185 2 7 112
693 295.000 0.669 0.616 2 7 113
694 233.000 0.804 0.419 2 7 114
695 265.000 0.931 2.158 2 7 115
